TransactionID,CustomerID,PurchaseDate,Product,Category,Quantity,UnitPrice,City,Gender,Age
1,CUST2620,24/04/2024,DRESS,Women's Wear,2,1442.0,Mumbai,Female,65.0
1,CUST2620,24/04/2024,Handbag,Accessories,2,3978.0,Bangalore,Male,55.0
2,CUST1409,10/09/2025,Jeans,Bottomwear,1,4821.0,Bangalore,Male,36.0
2,CUST1409,10/09/2025,Belt,Accessories,3,4013.0,Bangalore,Female,58.0
2,CUST1409,2025-09-10,Shorts,Bottomwear,3,4861.0,Mumbai,Male,32.0
2,CUST1409,2025-09-10,Sneakers,Footwear,4,3540.0,Bangalore,Female,59.0
3,CUST0193,2024-04-22,Sneakers,Footwear,4,4133.0,Bangalore,Male,51.0
3,CUST0193,22/04/2024,Socks,Footwear,3,4399.0,Pune,Male,29.0
3,CUST0193,2024-04-22,Watch,Accessories,1,1215.0,Pune,Male,41.0
3,CUST0193,04-22-2024,T-Shirt,Topwear,2,4192.0,Delhi,Male,53.0
4,CUST1850,05-03-2024,Jeans,Bottomwear,2,357.0,Thane,Male,22.0
4,CUST1850,2024-05-03,Belt,Accessories,5,4171.0,Bangalore,Male,33.0
4,CUST1850,05-03-2024,Cap,Accessories,1,3597.0,Delhi,Male,64.0
5,CUST0402,02-21-2024,Shirt,Topwear,1,2235.0,Pune,Male,28.0
5,CUST0402,02-21-2024,Tie,Accessories,5,4285.0,Bangalore,Male,27.0
6,CUST0329,09/07/2024,Jeans,Bottomwear,1,4965.0,Thane,Female,33.0
6,CUST0329,07-09-2024,Belt,Accessories,1,375.0,Delhi,Male,47.0
6,CUST0329,09/07/2024,Cap,Accessories,3,4632.0,Pune,Male,18.0
7,CUST0834,2025-12-04,Dress,Women's Wear,1,1055.0,Pune,Female,
7,CUST0834,2025-12-04,Handbag,Accessories,5,594.0,Thane,Female,41.0
7,CUST0834,04/12/2025,Skirt,Women's Wear,3,4885.0,Pune,Male,
8,CUST2744,11/09/2024,Jacket,Outerwear,4,616.0,Pune,Female,48.0
8,CUST2744,11/09/2024,Scarf,Accessories,5,3573.0,Thane,Male,61.0
9,CUST1788,12/09/2025,Socks,Footwear,5,4709.0,Nashik,Female,61.0
9,CUST1788,09-12-2025,Hoodie,Topwear,5,2832.0,Pune,Male,60.0
9,CUST1788,09-12-2025,Belt,Accessories,1,2788.0,Nashik,Female,36.0
9,CUST1788,2025-09-12,Watch,Accessories,1,2623.0,Bangalore,Male,
10,CUST1866,02-28-2025,Hoodie,Topwear,2,344.0,Mumbai,Female,24.0
10,CUST1866,02-28-2025,Socks,Footwear,5,2898.0,Pune,Female,46.0
11,CUST1985,2025-10-03,Hoodie,Topwear,3,2219.0,Pune,Male,35.0
11,CUST1985,10-03-2025,Cap ,Accessories,2,3740.0,Nashik,Female,42.0
12,CUST2237,09/09/2025,Cap,Accessories,3,3611.0,Nashik,Male,64.0
12,CUST2237,2025-09-09,Watch,Accessories,4,2980.0,Nashik,,31.0
12,CUST2237,09-09-2025,Jeans,Bottomwear,1,553.0,Nashik,Male,33.0
13,CUST2943,27/04/2024,Tie,Accessories,2,921.0,Bangalore,Female,55.0
13,CUST2943,04-27-2024,Jeans,Bottomwear,1,4443.0,Nashik,Male,59.0
13,CUST2943,27/04/2024,Socks,Footwear,3,4707.0,Pune,Female,48.0
14,CUST1378,01-30-2024,DRESS,Women's Wear,4,2036.0,Delhi,Female,40.0
14,CUST1378,01-30-2024,Handbag,Accessories,4,3970.0,Bangalore,Female,19.0
15,CUST1859,2024-10-04,Sneakers,Footwear,2,2883.0,Pune,Male,25.0
15,CUST1859,2024-10-04,Socks,Footwear,3,2162.0,Mumbai,Female,41.0
16,CUST2352,10-18-2024,Hoodie,Topwear,3,4212.0,Pune,Male,25.0
16,CUST2352,18/10/2024,Cap,Accessories,5,2147.0,Thane,Female,51.0
