TransactionID,CustomerID,PurchaseDate,Product,Category,Quantity,UnitPrice,City,Gender,Age,Quantity_Norm,UnitPrice_Norm,Age_Norm,Clusters,Age_Bin,Age_Group,Total_Spend,Purchase_Year,Purchase_Month,Season,Cluster_Label_Desc
1,CUST2620,24-04-2024,Dress,Women'S Wear,2,1442.0,Mumbai,Female,65,0.25,0.2885154061624649,0.726027397260274,2,Old People,60+,2884.0,2024,4,Summer,Budget Buyers
1,CUST2620,24-04-2024,Handbag,Accessories,2,3978.0,Bangalore,Male,55,0.25,0.7959183673469388,0.589041095890411,1,Seniors,45-59,7956.0,2024,4,Summer,Premium Buyers
2,CUST1409,10-09-2025,Jeans,Bottomwear,1,4821.0,Bangalore,Male,36,0.0,0.9645858343337336,0.3287671232876712,1,Seniors,30-44,4821.0,2025,9,Autumn,Premium Buyers
2,CUST1409,10-09-2025,Belt,Accessories,3,4013.0,Bangalore,Female,58,0.5,0.8029211684673869,0.6301369863013698,1,Seniors,45-59,12039.0,2025,9,Autumn,Premium Buyers
2,CUST1409,10-09-2025,Shorts,Bottomwear,3,4861.0,Mumbai,Male,32,0.5,0.9725890356142456,0.273972602739726,1,Adults,30-44,14583.0,2025,9,Autumn,Premium Buyers
2,CUST1409,10-09-2025,Sneakers,Footwear,4,3540.0,Bangalore,Female,59,0.75,0.7082833133253301,0.6438356164383562,0,Seniors,45-59,14160.0,2025,9,Autumn,Frequent Buyers
3,CUST0193,22-04-2024,Sneakers,Footwear,4,4133.0,Bangalore,Male,51,0.75,0.8269307723089235,0.5342465753424658,0,Seniors,45-59,16532.0,2024,4,Summer,Frequent Buyers
3,CUST0193,22-04-2024,Socks,Footwear,3,4399.0,Pune,Male,29,0.5,0.8801520608243297,0.2328767123287671,1,Adults,18-29,13197.0,2024,4,Summer,Premium Buyers
3,CUST0193,22-04-2024,Watch,Accessories,1,1215.0,Pune,Male,41,0.0,0.2430972388955582,0.3972602739726027,2,Seniors,30-44,1215.0,2024,4,Summer,Budget Buyers
3,CUST0193,22-04-2024,T-Shirt,Topwear,2,4192.0,Delhi,Male,53,0.25,0.8387354941976791,0.5616438356164384,1,Seniors,45-59,8384.0,2024,4,Summer,Premium Buyers
4,CUST1850,05-03-2024,Jeans,Bottomwear,2,357.0,Thane,Male,22,0.25,0.0714285714285714,0.136986301369863,2,Adults,18-29,714.0,2024,3,Summer,Budget Buyers
4,CUST1850,03-05-2024,Belt,Accessories,5,4171.0,Bangalore,Male,33,1.0,0.8345338135254101,0.2876712328767123,0,Adults,30-44,20855.0,2024,5,Summer,Frequent Buyers
4,CUST1850,05-03-2024,Cap,Accessories,1,3597.0,Delhi,Male,64,0.0,0.71968787515006,0.7123287671232876,1,Old People,60+,3597.0,2024,3,Summer,Premium Buyers
5,CUST0402,21-02-2024,Shirt,Topwear,1,2235.0,Pune,Male,28,0.0,0.4471788715486194,0.2191780821917808,2,Adults,18-29,2235.0,2024,2,Winter,Budget Buyers
5,CUST0402,21-02-2024,Tie,Accessories,5,4285.0,Bangalore,Male,27,1.0,0.85734293717487,0.2054794520547945,0,Adults,18-29,21425.0,2024,2,Winter,Frequent Buyers
6,CUST0329,09-07-2024,Jeans,Bottomwear,1,4965.0,Thane,Female,33,0.0,0.9933973589435774,0.2876712328767123,1,Adults,30-44,4965.0,2024,7,Monsoon,Premium Buyers
6,CUST0329,07-09-2024,Belt,Accessories,1,375.0,Delhi,Male,47,0.0,0.0750300120048019,0.4794520547945205,2,Seniors,45-59,375.0,2024,9,Autumn,Budget Buyers
6,CUST0329,09-07-2024,Cap,Accessories,3,4632.0,Pune,Male,18,0.5,0.9267707082833132,0.0821917808219178,1,Teenagers,18-29,13896.0,2024,7,Monsoon,Premium Buyers
7,CUST0834,04-12-2025,Dress,Women'S Wear,1,1055.0,Pune,Female,41,0.0,0.2110844337735094,0.3972602739726027,2,Seniors,30-44,1055.0,2025,12,Winter,Budget Buyers
7,CUST0834,04-12-2025,Handbag,Accessories,5,594.0,Thane,Female,41,1.0,0.1188475390156062,0.3972602739726027,0,Seniors,30-44,2970.0,2025,12,Winter,Frequent Buyers
7,CUST0834,04-12-2025,Skirt,Women'S Wear,3,4885.0,Pune,Female,41,0.5,0.977390956382553,0.3972602739726027,1,Seniors,30-44,14655.0,2025,12,Winter,Premium Buyers
8,CUST2744,11-09-2024,Jacket,Outerwear,4,616.0,Pune,Female,48,0.75,0.1232492997198879,0.4931506849315068,0,Seniors,45-59,2464.0,2024,9,Autumn,Frequent Buyers
8,CUST2744,11-09-2024,Scarf,Accessories,5,3573.0,Thane,Male,61,1.0,0.7148859543817527,0.6712328767123288,0,Old People,60+,17865.0,2024,9,Autumn,Frequent Buyers
9,CUST1788,12-09-2025,Socks,Footwear,5,4709.0,Nashik,Female,61,1.0,0.9421768707482994,0.6712328767123288,0,Old People,60+,23545.0,2025,9,Autumn,Frequent Buyers
9,CUST1788,09-12-2025,Hoodie,Topwear,5,2832.0,Pune,Male,60,1.0,0.5666266506602641,0.6575342465753424,0,Old People,60+,14160.0,2025,12,Winter,Frequent Buyers
9,CUST1788,09-12-2025,Belt,Accessories,1,2788.0,Nashik,Female,36,0.0,0.5578231292517006,0.3287671232876712,1,Seniors,30-44,2788.0,2025,12,Winter,Premium Buyers
9,CUST1788,12-09-2025,Watch,Accessories,1,2623.0,Bangalore,Male,41,0.0,0.5248099239695878,0.3972602739726027,2,Seniors,30-44,2623.0,2025,9,Autumn,Budget Buyers
10,CUST1866,28-02-2025,Hoodie,Topwear,2,344.0,Mumbai,Female,24,0.25,0.0688275310124049,0.1643835616438356,2,Adults,18-29,688.0,2025,2,Winter,Budget Buyers
10,CUST1866,28-02-2025,Socks,Footwear,5,2898.0,Pune,Female,46,1.0,0.5798319327731093,0.4657534246575342,0,Seniors,45-59,14490.0,2025,2,Winter,Frequent Buyers
11,CUST1985,03-10-2025,Hoodie,Topwear,3,2219.0,Pune,Male,35,0.5,0.4439775910364145,0.3150684931506849,2,Adults,30-44,6657.0,2025,10,Autumn,Budget Buyers
11,CUST1985,10-03-2025,Cap,Accessories,2,3740.0,Nashik,Female,42,0.25,0.7482993197278912,0.410958904109589,1,Seniors,30-44,7480.0,2025,3,Summer,Premium Buyers
12,CUST2237,09-09-2025,Cap,Accessories,3,3611.0,Nashik,Male,64,0.5,0.7224889955982393,0.7123287671232876,1,Old People,60+,10833.0,2025,9,Autumn,Premium Buyers
12,CUST2237,09-09-2025,Watch,Accessories,4,2980.0,Nashik,Female,31,0.75,0.5962384953981593,0.2602739726027397,0,Adults,30-44,11920.0,2025,9,Autumn,Frequent Buyers
12,CUST2237,09-09-2025,Jeans,Bottomwear,1,553.0,Nashik,Male,33,0.0,0.1106442577030812,0.2876712328767123,2,Adults,30-44,553.0,2025,9,Autumn,Budget Buyers
13,CUST2943,27-04-2024,Tie,Accessories,2,921.0,Bangalore,Female,55,0.25,0.1842737094837935,0.589041095890411,2,Seniors,45-59,1842.0,2024,4,Summer,Budget Buyers
13,CUST2943,27-04-2024,Jeans,Bottomwear,1,4443.0,Nashik,Male,59,0.0,0.8889555822328932,0.6438356164383562,1,Seniors,45-59,4443.0,2024,4,Summer,Premium Buyers
13,CUST2943,27-04-2024,Socks,Footwear,3,4707.0,Pune,Female,48,0.5,0.9417767106842736,0.4931506849315068,1,Seniors,45-59,14121.0,2024,4,Summer,Premium Buyers
14,CUST1378,30-01-2024,Dress,Women'S Wear,4,2036.0,Delhi,Female,40,0.75,0.4073629451780712,0.3835616438356164,0,Seniors,30-44,8144.0,2024,1,Winter,Frequent Buyers
14,CUST1378,30-01-2024,Handbag,Accessories,4,3970.0,Bangalore,Female,19,0.75,0.7943177270908364,0.0958904109589041,0,Teenagers,18-29,15880.0,2024,1,Winter,Frequent Buyers
15,CUST1859,04-10-2024,Sneakers,Footwear,2,2883.0,Pune,Male,25,0.25,0.5768307322929171,0.1780821917808219,1,Adults,18-29,5766.0,2024,10,Autumn,Premium Buyers
15,CUST1859,04-10-2024,Socks,Footwear,3,2162.0,Mumbai,Female,41,0.5,0.4325730292116846,0.3972602739726027,2,Seniors,30-44,6486.0,2024,10,Autumn,Budget Buyers
16,CUST2352,18-10-2024,Hoodie,Topwear,3,4212.0,Pune,Male,25,0.5,0.8427370948379351,0.1780821917808219,1,Adults,18-29,12636.0,2024,10,Autumn,Premium Buyers
16,CUST2352,18-10-2024,Cap,Accessories,5,2147.0,Thane,Female,51,1.0,0.4295718287314926,0.5342465753424658,0,Seniors,45-59,10735.0,2024,10,Autumn,Frequent Buyers
16,CUST2352,18-10-2024,Handbag,Accessories,1,1585.0,Thane,Female,41,0.0,0.3171268507402961,0.3972602739726027,2,Seniors,30-44,1585.0,2024,10,Autumn,Budget Buyers
17,CUST2416,08-11-2025,Watch,Accessories,2,883.0,Nashik,Female,21,0.25,0.1766706682673069,0.1232876712328767,2,Adults,18-29,1766.0,2025,11,Autumn,Budget Buyers
17,CUST2416,08-11-2025,Cap,Accessories,5,625.0,Bangalore,Male,45,1.0,0.1250500200080032,0.4520547945205479,0,Seniors,45-59,3125.0,2025,11,Autumn,Frequent Buyers
17,CUST2416,08-11-2025,Dress,Women'S Wear,2,4153.0,Bangalore,Female,51,0.25,0.8309323729491797,0.5342465753424658,1,Seniors,45-59,8306.0,2025,11,Autumn,Premium Buyers
18,CUST1351,25-02-2025,Dress,Women'S Wear,1,2875.0,Bangalore,Female,34,0.0,0.5752300920368147,0.3013698630136986,1,Adults,30-44,2875.0,2025,2,Winter,Premium Buyers
18,CUST1351,25-02-2025,Handbag,Accessories,1,1966.0,Mumbai,Female,41,0.0,0.3933573429371749,0.3972602739726027,2,Seniors,30-44,1966.0,2025,2,Winter,Budget Buyers
18,CUST1351,25-02-2025,Socks,Footwear,4,1261.0,Nashik,Female,59,0.75,0.2523009203681473,0.6438356164383562,0,Seniors,45-59,5044.0,2025,2,Winter,Frequent Buyers
18,CUST1351,25-02-2025,Belt,Accessories,2,870.0,Mumbai,Female,35,0.25,0.1740696278511404,0.3150684931506849,2,Adults,30-44,1740.0,2025,2,Winter,Budget Buyers
19,CUST1984,19-12-2024,Shirt,Topwear,2,2255.0,Bangalore,Female,54,0.25,0.4511804721888755,0.5753424657534246,2,Seniors,45-59,4510.0,2024,12,Winter,Budget Buyers
19,CUST1984,19-12-2024,Tie,Accessories,4,602.0,Mumbai,Female,26,0.75,0.1204481792717086,0.1917808219178082,0,Adults,18-29,2408.0,2024,12,Winter,Frequent Buyers
19,CUST1984,19-12-2024,Shorts,Bottomwear,3,3072.0,Thane,Female,57,0.5,0.6146458583433373,0.6164383561643836,1,Seniors,45-59,9216.0,2024,12,Winter,Premium Buyers
20,CUST1178,20-08-2024,Sneakers,Footwear,1,2956.0,Delhi,Female,21,0.0,0.5914365746298519,0.1232876712328767,1,Adults,18-29,2956.0,2024,8,Monsoon,Premium Buyers
20,CUST1178,20-08-2024,Handbag,Accessories,5,1471.0,Nashik,Male,32,1.0,0.2943177270908363,0.273972602739726,0,Adults,30-44,7355.0,2024,8,Monsoon,Frequent Buyers
20,CUST1178,20-08-2024,Tie,Accessories,4,2347.0,Mumbai,Female,47,0.75,0.4695878351340536,0.4794520547945205,0,Seniors,45-59,9388.0,2024,8,Monsoon,Frequent Buyers
21,CUST1622,08-10-2024,Jacket,Outerwear,2,3185.0,Bangalore,Female,41,0.25,0.6372549019607843,0.3972602739726027,1,Seniors,30-44,6370.0,2024,10,Autumn,Premium Buyers
21,CUST1622,08-10-2024,Scarf,Accessories,3,3702.0,Delhi,Female,29,0.5,0.7406962785114045,0.2328767123287671,1,Adults,18-29,11106.0,2024,10,Autumn,Premium Buyers
21,CUST1622,08-10-2024,Belt,Accessories,3,1242.0,Delhi,Female,47,0.5,0.2484993997599039,0.4794520547945205,2,Seniors,45-59,3726.0,2024,10,Autumn,Budget Buyers
21,CUST1622,10-08-2024,Skirt,Women'S Wear,5,3420.0,Delhi,Female,58,1.0,0.6842737094837935,0.6301369863013698,0,Seniors,45-59,17100.0,2024,8,Monsoon,Frequent Buyers
22,CUST1238,26-10-2025,Sneakers,Footwear,1,2792.0,Nashik,Female,49,0.0,0.558623449379752,0.5068493150684932,1,Seniors,45-59,2792.0,2025,10,Autumn,Premium Buyers
22,CUST1238,26-10-2025,Socks,Footwear,1,4307.0,Pune,Female,57,0.0,0.8617446978791516,0.6164383561643836,1,Seniors,45-59,4307.0,2025,10,Autumn,Premium Buyers
23,CUST1470,03-03-2024,Sneakers,Footwear,4,1049.0,Thane,Male,60,0.75,0.2098839535814325,0.6575342465753424,0,Old People,60+,4196.0,2024,3,Summer,Frequent Buyers
23,CUST1470,03-03-2024,Socks,Footwear,2,2990.0,Pune,Male,27,0.25,0.5982392957182873,0.2054794520547945,1,Adults,18-29,5980.0,2024,3,Summer,Premium Buyers
24,CUST2412,27-11-2024,Dress,Women'S Wear,2,3747.0,Delhi,Female,51,0.25,0.7496998799519808,0.5342465753424658,1,Seniors,45-59,7494.0,2024,11,Autumn,Premium Buyers
24,CUST2412,27-11-2024,Handbag,Accessories,5,2769.0,Nashik,Female,47,1.0,0.5540216086434574,0.4794520547945205,0,Seniors,45-59,13845.0,2024,11,Autumn,Frequent Buyers
