TransactionID,CustomerID,PurchaseDate,Product,Category,Quantity,UnitPrice,City,Gender,Age
1,CUST2620,24-04-2024,Dress,Women'S Wear,2,1442.0,Mumbai,Female,65
1,CUST2620,24-04-2024,Handbag,Accessories,2,3978.0,Bangalore,Male,55
2,CUST1409,10-09-2025,Jeans,Bottomwear,1,4821.0,Bangalore,Male,36
2,CUST1409,10-09-2025,Belt,Accessories,3,4013.0,Bangalore,Female,58
2,CUST1409,10-09-2025,Shorts,Bottomwear,3,4861.0,Mumbai,Male,32
2,CUST1409,10-09-2025,Sneakers,Footwear,4,3540.0,Bangalore,Female,59
3,CUST0193,22-04-2024,Sneakers,Footwear,4,4133.0,Bangalore,Male,51
3,CUST0193,22-04-2024,Socks,Footwear,3,4399.0,Pune,Male,29
3,CUST0193,22-04-2024,Watch,Accessories,1,1215.0,Pune,Male,41
3,CUST0193,22-04-2024,T-Shirt,Topwear,2,4192.0,Delhi,Male,53
4,CUST1850,05-03-2024,Jeans,Bottomwear,2,357.0,Thane,Male,22
4,CUST1850,03-05-2024,Belt,Accessories,5,4171.0,Bangalore,Male,33
4,CUST1850,05-03-2024,Cap,Accessories,1,3597.0,Delhi,Male,64
5,CUST0402,21-02-2024,Shirt,Topwear,1,2235.0,Pune,Male,28
5,CUST0402,21-02-2024,Tie,Accessories,5,4285.0,Bangalore,Male,27
6,CUST0329,09-07-2024,Jeans,Bottomwear,1,4965.0,Thane,Female,33
6,CUST0329,07-09-2024,Belt,Accessories,1,375.0,Delhi,Male,47
6,CUST0329,09-07-2024,Cap,Accessories,3,4632.0,Pune,Male,18
7,CUST0834,04-12-2025,Dress,Women'S Wear,1,1055.0,Pune,Female,41
7,CUST0834,04-12-2025,Handbag,Accessories,5,594.0,Thane,Female,41
7,CUST0834,04-12-2025,Skirt,Women'S Wear,3,4885.0,Pune,Female,41
8,CUST2744,11-09-2024,Jacket,Outerwear,4,616.0,Pune,Female,48
8,CUST2744,11-09-2024,Scarf,Accessories,5,3573.0,Thane,Male,61
9,CUST1788,12-09-2025,Socks,Footwear,5,4709.0,Nashik,Female,61
9,CUST1788,09-12-2025,Hoodie,Topwear,5,2832.0,Pune,Male,60
9,CUST1788,09-12-2025,Belt,Accessories,1,2788.0,Nashik,Female,36
9,CUST1788,12-09-2025,Watch,Accessories,1,2623.0,Bangalore,Male,41
10,CUST1866,28-02-2025,Hoodie,Topwear,2,344.0,Mumbai,Female,24
10,CUST1866,28-02-2025,Socks,Footwear,5,2898.0,Pune,Female,46
11,CUST1985,03-10-2025,Hoodie,Topwear,3,2219.0,Pune,Male,35
11,CUST1985,10-03-2025,Cap,Accessories,2,3740.0,Nashik,Female,42
12,CUST2237,09-09-2025,Cap,Accessories,3,3611.0,Nashik,Male,64
12,CUST2237,09-09-2025,Watch,Accessories,4,2980.0,Nashik,Female,31
12,CUST2237,09-09-2025,Jeans,Bottomwear,1,553.0,Nashik,Male,33
13,CUST2943,27-04-2024,Tie,Accessories,2,921.0,Bangalore,Female,55
