TransactionID,CustomerID,PurchaseDate,Product,Category,Quantity,UnitPrice,City,Gender,Age,Purchasedate
1,CUST2620,24-04-2024,Dress,Women'S Wear,2,1442.0,Mumbai,Female,65.0,2024-04-24
1,CUST2620,24-04-2024,Handbag,Accessories,2,3978.0,Bangalore,Male,55.0,2024-04-24
2,CUST1409,10-09-2025,Jeans,Bottomwear,1,4821.0,Bangalore,Male,36.0,2025-09-10
2,CUST1409,10-09-2025,Belt,Accessories,3,4013.0,Bangalore,Female,58.0,2025-09-10
2,CUST1409,10-09-2025,Shorts,Bottomwear,3,4861.0,Mumbai,Male,32.0,2025-09-10
2,CUST1409,10-09-2025,Sneakers,Footwear,4,3540.0,Bangalore,Female,59.0,2025-09-10
3,CUST0193,22-04-2024,Sneakers,Footwear,4,4133.0,Bangalore,Male,51.0,2024-04-22
3,CUST0193,22-04-2024,Socks,Footwear,3,4399.0,Pune,Male,29.0,2024-04-22
3,CUST0193,22-04-2024,Watch,Accessories,1,1215.0,Pune,Male,41.0,2024-04-22
3,CUST0193,22-04-2024,T-Shirt,Topwear,2,4192.0,Delhi,Male,53.0,2024-04-22
4,CUST1850,05-03-2024,Jeans,Bottomwear,2,357.0,Thane,Male,22.0,2024-03-05
4,CUST1850,03-05-2024,Belt,Accessories,5,4171.0,Bangalore,Male,33.0,2024-05-03
4,CUST1850,05-03-2024,Cap,Accessories,1,3597.0,Delhi,Male,64.0,2024-03-05
5,CUST0402,21-02-2024,Shirt,Topwear,1,2235.0,Pune,Male,28.0,2024-02-21
5,CUST0402,21-02-2024,Tie,Accessories,5,4285.0,Bangalore,Male,27.0,2024-02-21
6,CUST0329,09-07-2024,Jeans,Bottomwear,1,4965.0,Thane,Female,33.0,2024-07-09
6,CUST0329,07-09-2024,Belt,Accessories,1,375.0,Delhi,Male,47.0,2024-09-07
6,CUST0329,09-07-2024,Cap,Accessories,3,4632.0,Pune,Male,18.0,2024-07-09
7,CUST0834,04-12-2025,Dress,Women'S Wear,1,1055.0,Pune,Female,41.0,2025-12-04
7,CUST0834,04-12-2025,Handbag,Accessories,5,594.0,Thane,Female,41.0,2025-12-04
7,CUST0834,04-12-2025,Skirt,Women'S Wear,3,4885.0,Pune,Female,41.0,2025-12-04
8,CUST2744,11-09-2024,Jacket,Outerwear,4,616.0,Pune,Female,48.0,2024-09-11
8,CUST2744,11-09-2024,Scarf,Accessories,5,3573.0,Thane,Male,61.0,2024-09-11
9,CUST1788,12-09-2025,Socks,Footwear,5,4709.0,Nashik,Female,61.0,2025-09-12
9,CUST1788,09-12-2025,Hoodie,Topwear,5,2832.0,Pune,Male,60.0,2025-12-09
9,CUST1788,09-12-2025,Belt,Accessories,1,2788.0,Nashik,Female,36.0,2025-12-09
9,CUST1788,12-09-2025,Watch,Accessories,1,2623.0,Bangalore,Male,41.0,2025-09-12
10,CUST1866,28-02-2025,Hoodie,Topwear,2,344.0,Mumbai,Female,24.0,2025-02-28
10,CUST1866,28-02-2025,Socks,Footwear,5,2898.0,Pune,Female,46.0,2025-02-28
11,CUST1985,03-10-2025,Hoodie,Topwear,3,2219.0,Pune,Male,35.0,2025-10-03
11,CUST1985,10-03-2025,Cap,Accessories,2,3740.0,Nashik,Female,42.0,2025-03-10
12,CUST2237,09-09-2025,Cap,Accessories,3,3611.0,Nashik,Male,64.0,2025-09-09
12,CUST2237,09-09-2025,Watch,Accessories,4,2980.0,Nashik,Female,31.0,2025-09-09
12,CUST2237,09-09-2025,Jeans,Bottomwear,1,553.0,Nashik,Male,33.0,2025-09-09
13,CUST2943,27-04-2024,Tie,Accessories,2,921.0,Bangalore,Female,55.0,2024-04-27
13,CUST2943,27-04-2024,Jeans,Bottomwear,1,4443.0,Nashik,Male,59.0,2024-04-27
13,CUST2943,27-04-2024,Socks,Footwear,3,4707.0,Pune,Female,48.0,2024-04-27
14,CUST1378,30-01-2024,Dress,Women'S Wear,4,2036.0,Delhi,Female,40.0,2024-01-30
